Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2014

No	Cation	Anion	Solute	T	Vcal	
243	N8111	DCA	DCM	  298.15	0.4487	
244	N8111	MeSO3	DCM	  298.15	0.3183	
245	N8111	HSO4	DCM	  298.15	0.4713	
246	N8111	BCN4	DCM	  298.15	0.4347	
247	N8111	BETI	DCM	  298.15	0.3525	
248	N8111	Tosylate	DCM	  298.15	0.3122	
249	N8111	FAP	DCM	  298.15	0.3864	
250	N8111	C8SO4	DCM	  298.15	0.3744	
251	N8111	MeSO4	DCM	  298.15	0.3744	
252	N8111	MePO3	DCM	  298.15	0.3055	
253	N10111	NTF2	DCM	  298.15	0.4489	
254	N10111	BF4	DCM	  298.15	0.4489	
255	N10111	PF6	DCM	  298.15	0.3379	
256	N10111	NFO	DCM	  298.15	0.3379	
257	N10111	ClO4	DCM	  298.15	0.4426	
258	N10111	AC	DCM	  298.15	0.2963	
259	N10111	NO3	DCM	  298.15	0.3859	
260	N10111	TFA	DCM	  298.15	0.3850	
261	N10111	TFO	DCM	  298.15	0.3937	
262	N10111	Cl	DCM	  298.15	0.3021	
263	N10111	SCN	DCM	  298.15	0.4160	
264	N10111	DCA	DCM	  298.15	0.4005	
265	N10111	MeSO3	DCM	  298.15	0.3016	
266	N10111	HSO4	DCM	  298.15	0.4215	
267	N10111	BCN4	DCM	  298.15	0.3911	
268	N10111	BETI	DCM	  298.15	0.3305	
269	N10111	Tosylate	DCM	  298.15	0.2903	
270	N10111	FAP	DCM	  298.15	0.3674	
271	N10111	C8SO4	DCM	  298.15	0.3438	
272	N10111	MeSO4	DCM	  298.15	0.3438	
273	N10111	MePO3	DCM	  298.15	0.2885	
274	MBPyr	NTF2	DCM	  298.15	0.5273	
275	MBPyr	BF4	DCM	  298.15	0.5273	
276	MBPyr	PF6	DCM	  298.15	0.3817	
277	MBPyr	NFO	DCM	  298.15	0.3817	
278	MBPyr	ClO4	DCM	  298.15	0.5219	
279	MBPyr	AC	DCM	  298.15	0.2315	
280	MBPyr	NO3	DCM	  298.15	0.3565	
281	MBPyr	TFA	DCM	  298.15	0.4176	
282	MBPyr	TFO	DCM	  298.15	0.4577	
283	MBPyr	Cl	DCM	  298.15	0.1913	
284	MBPyr	SCN	DCM	  298.15	0.4388	
285	MBPyr	DCA	DCM	  298.15	0.4348	
286	MBPyr	MeSO3	DCM	  298.15	0.2455	
287	MBPyr	HSO4	DCM	  298.15	0.4139	
288	MBPyr	BCN4	DCM	  298.15	0.4724	
289	MBPyr	BETI	DCM	  298.15	0.3746	
290	MBPyr	Tosylate	DCM	  298.15	0.2911	
291	MBPyr	FAP	DCM	  298.15	0.4213	
292	MBPyr	C8SO4	DCM	  298.15	0.3304	
293	MBPyr	MeSO4	DCM	  298.15	0.3304	
294	MBPyr	MePO3	DCM	  298.15	0.2410	
295	4DM1POMPy	NTF2	DCM	  298.15	0.4961	
296	4DM1POMPy	BF4	DCM	  298.15	0.4961	
297	4DM1POMPy	PF6	DCM	  298.15	0.3592	
298	4DM1POMPy	NFO	DCM	  298.15	0.3592	
299	4DM1POMPy	ClO4	DCM	  298.15	0.4888	
300	4DM1POMPy	AC	DCM	  298.15	0.2760	
301	4DM1POMPy	NO3	DCM	  298.15	0.3874	
302	4DM1POMPy	TFA	DCM	  298.15	0.4078	
303	4DM1POMPy	TFO	DCM	  298.15	0.4275	
304	4DM1POMPy	Cl	DCM	  298.15	0.2594	
305	4DM1POMPy	SCN	DCM	  298.15	0.4393	
306	4DM1POMPy	DCA	DCM	  298.15	0.4260	
307	4DM1POMPy	MeSO3	DCM	  298.15	0.2845	
308	4DM1POMPy	HSO4	DCM	  298.15	0.4333	
309	4DM1POMPy	BCN4	DCM	  298.15	0.4305	
310	4DM1POMPy	BETI	DCM	  298.15	0.3500	
311	4DM1POMPy	Tosylate	DCM	  298.15	0.2954	
312	4DM1POMPy	FAP	DCM	  298.15	0.3877	
313	4DM1POMPy	C8SO4	DCM	  298.15	0.3468	
314	4DM1POMPy	MeSO4	DCM	  298.15	0.3468	
315	4DM1POMPy	MePO3	DCM	  298.15	0.2746	
316	MPrPyr	NTF2	DCM	  298.15	0.5712	
317	MPrPyr	BF4	DCM	  298.15	0.5712	
318	MPrPyr	PF6	DCM	  298.15	0.4129	
319	MPrPyr	NFO	DCM	  298.15	0.4129	
320	MPrPyr	ClO4	DCM	  298.15	0.5694	
321	MPrPyr	AC	DCM	  298.15	0.2226	
322	MPrPyr	NO3	DCM	  298.15	0.3485	
323	MPrPyr	TFA	DCM	  298.15	0.4525	
324	MPrPyr	TFO	DCM	  298.15	0.5063	
325	MPrPyr	Cl	DCM	  298.15	0.1627	
326	MPrPyr	SCN	DCM	  298.15	0.4579	
327	MPrPyr	DCA	DCM	  298.15	0.4650	
328	MPrPyr	MeSO3	DCM	  298.15	0.2338	
329	MPrPyr	HSO4	DCM	  298.15	0.4138	
330	MPrPyr	BCN4	DCM	  298.15	0.5256	
331	MPrPyr	BETI	DCM	  298.15	0.3988	
332	MPrPyr	Tosylate	DCM	  298.15	0.3055	
333	MPrPyr	FAP	DCM	  298.15	0.4407	
334	MPrPyr	C8SO4	DCM	  298.15	0.3347	
335	MPrPyr	MeSO4	DCM	  298.15	0.3347	
336	MPrPyr	MePO3	DCM	  298.15	0.2380	
337	MPePyr	NTF2	DCM	  298.15	0.4971	
338	MPePyr	BF4	DCM	  298.15	0.4971	
339	MPePyr	PF6	DCM	  298.15	0.3636	
340	MPePyr	NFO	DCM	  298.15	0.3636	
341	MPePyr	ClO4	DCM	  298.15	0.4907	
342	MPePyr	AC	DCM	  298.15	0.2378	
343	MPePyr	NO3	DCM	  298.15	0.3580	
344	MPePyr	TFA	DCM	  298.15	0.3971	
345	MPePyr	TFO	DCM	  298.15	0.4295	
346	MPePyr	Cl	DCM	  298.15	0.2104	
347	MPePyr	SCN	DCM	  298.15	0.4239	
348	MPePyr	DCA	DCM	  298.15	0.4155	
349	MPePyr	MeSO3	DCM	  298.15	0.2530	
350	MPePyr	HSO4	DCM	  298.15	0.4097	
351	MPePyr	BCN4	DCM	  298.15	0.4417	
352	MPePyr	BETI	DCM	  298.15	0.3598	
353	MPePyr	Tosylate	DCM	  298.15	0.2833	
354	MPePyr	FAP	DCM	  298.15	0.4085	
355	MPePyr	C8SO4	DCM	  298.15	0.3268	
356	MPePyr	MeSO4	DCM	  298.15	0.3268	
357	MPePyr	MePO3	DCM	  298.15	0.2436	
358	N4441	NTF2	DCM	  298.15	0.3847	
359	N4441	BF4	DCM	  298.15	0.3847	
360	N4441	PF6	DCM	  298.15	0.3091	
361	N4441	NFO	DCM	  298.15	0.3091	
362	N4441	ClO4	DCM	  298.15	0.3805	
363	N4441	AC	DCM	  298.15	0.2137	
364	N4441	NO3	DCM	  298.15	0.3053	
365	N4441	TFA	DCM	  298.15	0.3190	
366	N4441	TFO	DCM	  298.15	0.3431	
367	N4441	Cl	DCM	  298.15	0.2076	
368	N4441	SCN	DCM	  298.15	0.3406	
369	N4441	DCA	DCM	  298.15	0.3332	
370	N4441	MeSO3	DCM	  298.15	0.2321	
371	N4441	HSO4	DCM	  298.15	0.3388	
372	N4441	BCN4	DCM	  298.15	0.3559	
373	N4441	BETI	DCM	  298.15	0.3167	
374	N4441	Tosylate	DCM	  298.15	0.2424	
375	N4441	FAP	DCM	  298.15	0.3745	
376	N4441	C8SO4	DCM	  298.15	0.2796	
377	N4441	MeSO4	DCM	  298.15	0.2796	
378	N4441	MePO3	DCM	  298.15	0.2162	
379	N6111	NTF2	DCM	  298.15	0.6047	
380	N6111	BF4	DCM	  298.15	0.6047	
381	N6111	PF6	DCM	  298.15	0.4019	
382	N6111	NFO	DCM	  298.15	0.4019	
383	N6111	ClO4	DCM	  298.15	0.5932	
384	N6111	AC	DCM	  298.15	0.3069	
385	N6111	NO3	DCM	  298.15	0.4496	
386	N6111	TFA	DCM	  298.15	0.4805	
387	N6111	TFO	DCM	  298.15	0.5017	
388	N6111	Cl	DCM	  298.15	0.2812	
389	N6111	SCN	DCM	  298.15	0.5282	
390	N6111	DCA	DCM	  298.15	0.5060	
391	N6111	MeSO3	DCM	  298.15	0.3144	
392	N6111	HSO4	DCM	  298.15	0.5108	
393	N6111	BCN4	DCM	  298.15	0.4988	
394	N6111	BETI	DCM	  298.15	0.3821	
395	N6111	Tosylate	DCM	  298.15	0.3335	
396	N6111	FAP	DCM	  298.15	0.4129	
397	N6111	C8SO4	DCM	  298.15	0.3976	
398	N6111	MeSO4	DCM	  298.15	0.3976	
399	N6111	MePO3	DCM	  298.15	0.3070	
400	1B4MPy	NTF2	DCM	  298.15	0.5998	
401	1B4MPy	BF4	DCM	  298.15	0.5998	
402	1B4MPy	PF6	DCM	  298.15	0.4070	
403	1B4MPy	NFO	DCM	  298.15	0.4070	
404	1B4MPy	ClO4	DCM	  298.15	0.5904	
405	1B4MPy	AC	DCM	  298.15	0.3180	
406	1B4MPy	NO3	DCM	  298.15	0.4518	
407	1B4MPy	TFA	DCM	  298.15	0.4867	
408	1B4MPy	TFO	DCM	  298.15	0.5060	
409	1B4MPy	Cl	DCM	  298.15	0.2786	
410	1B4MPy	SCN	DCM	  298.15	0.5210	
411	1B4MPy	DCA	DCM	  298.15	0.5080	
412	1B4MPy	MeSO3	DCM	  298.15	0.3180	
413	1B4MPy	HSO4	DCM	  298.15	0.5137	
414	1B4MPy	BCN4	DCM	  298.15	0.5014	
415	1B4MPy	BETI	DCM	  298.15	0.3869	
416	1B4MPy	Tosylate	DCM	  298.15	0.3355	
417	1B4MPy	FAP	DCM	  298.15	0.4195	
418	1B4MPy	C8SO4	DCM	  298.15	0.3979	
419	1B4MPy	MeSO4	DCM	  298.15	0.3979	
420	1B4MPy	MePO3	DCM	  298.15	0.3148	
421	EMMIM	NTF2	DCM	  298.15	0.6372	
422	EMMIM	BF4	DCM	  298.15	0.6372	
423	EMMIM	PF6	DCM	  298.15	0.4382	
424	EMMIM	NFO	DCM	  298.15	0.4382	
425	EMMIM	ClO4	DCM	  298.15	0.6358	
426	EMMIM	AC	DCM	  298.15	0.2426	
427	EMMIM	NO3	DCM	  298.15	0.3784	
